time, m_power, batt_voltage, motor_current, motor_position, motor_velocity, motor_acceleration, motor_jerk,,,,,
0.005643,0,12.27,0,0,0,#VALUE!,,,,,J,0.1
0.039475,0.05,12.27,0.003,0,0,0,,,,,,
0.074364,0.1,12.257,0.277,1,0.045105,1.292814354,,,,,,
0.11139,0.15,12.262,0.495,7,0.315738,7.309269162,,,,,,
0.147028,0.2,12.253,0.437,17,0.541265,6.328273192,,,,,,
0.18465,0.25,12.249,0.55,31,0.766792,5.994551061,,,,,,
0.222558,0.3,12.236,0.63,51,1.127636,9.518940593,,,,,,
0.259421,0.35,12.244,0.718,76,1.353163,6.117977376,,,,,,
0.296855,0.4,12.24,0.623,106,1.714006,9.639445424,,,,,,
0.334382,0.45,12.218,0.721,142,2.074849,9.615556799,,,,,,
0.37537,0.5,12.209,0.765,188,2.390587,7.703181419,,,,,,
0.411773,0.55,12.227,0.823,231,2.66122,7.434359806,,,,,,
0.447135,0.6,12.222,0.761,278,2.841642,5.102143544,,,,,,
0.48443,0.65,12.196,0.765,334,3.24759,10.88478348,,,,,,
0.526022,0.7,12.192,0.685,404,3.698645,10.8447538,,,,,,
0.562752,0.75,12.192,0.634,471,4.059488,9.824203648,,,,,,
0.59978,0.8,12.218,0.677,545,4.330121,7.308874365,,,,,,
0.63962,0.85,12.209,0.743,631,4.690964,9.057304217,,,,,,
0.680544,0.9,12.196,0.754,722,5.096913,9.919582641,,,,,,
0.718785,0.95,12.192,0.725,812,5.232229,3.538505792,,,,,,
0.757132,0,12.192,0.707,908,5.502862,7.057475161,,,,,,
0.818934,0.05,12.266,0.021,1052,5.277334,-3.649202291,,,,,,
0.88081,0.1,12.266,0,1173,4.375226,-14.57928761,,,,,,
0.946541,0.15,12.262,0,1274,3.428012,-14.41046082,,,,,,
1.008297,0.2,12.266,0.003,1338,2.435693,-16.06838202,,,,,,
1.074208,0.25,12.244,0.211,1383,1.443374,-15.05543839,,,,,,
1.136517,0.3,12.249,0.411,1418,1.262952,-2.895600957,,,,,,
1.199142,0.35,12.249,0.422,1462,1.57869,5.041724551,,,,,,
1.261128,0.4,12.244,0.557,1515,1.939533,5.821362888,,,,,,
1.323227,0.45,12.222,0.488,1578,2.345482,6.537126202,,,,,,
1.385109,0.5,12.227,0.441,1650,2.616114,4.373355742,,,,,,
1.448105,0.55,12.24,0.43,1730,2.886747,4.296034669,,,,,,
1.509973,0.6,12.227,0.707,1816,3.15738,4.374361544,,,,,,
1.571949,0.65,12.187,0.732,1911,3.428012,4.366722602,,,,,,
1.638775,0.7,12.218,0.517,2023,3.833961,6.074716428,,,,,,
1.701917,0.75,12.196,0.568,2141,4.194804,5.714785721,,,,,,
1.763455,0.8,12.183,0.564,2264,4.555648,5.863758978,,,,,,
1.824958,0.85,12.179,0.641,2395,4.781175,3.666926817,,,,,,
1.891769,0.9,12.183,0.667,2547,5.142018,5.400951939,,,,,,
1.95822,0.95,12.209,0.451,2708,5.502862,5.430226784,,,,,,
2.02051,0,12.201,0.353,2866,5.773494,4.344710226,,,,,,
2.286027,0.05,12.266,0,3294,2.16506,-13.59021833,,,,,,
2.547611,0.1,12.257,0.495,3354,0,-8.276729464,,,,,,
2.813444,0.15,12.249,0.481,3399,0.451054,1.696756987,,,,,,
3.075088,0.2,12.249,0.433,3470,0.58637,0.51717601,,,,,,
3.341248,0.25,12.236,0.557,3584,0.992319,1.525206643,,,,,,
3.60397,0.3,12.236,0.411,3740,1.353163,1.373482236,,,,,,
3.86998,0.35,12.244,0.623,3934,1.668901,1.186940341,,,,,,
4.132382,0.4,12.218,0.473,4162,2.029744,1.375153391,,,,,,
4.400443,0.45,12.218,0.641,4440,2.345482,1.177858771,,,,,,
4.666806,0.5,12.244,0.342,4752,2.706325,1.354703919,,,,,,
4.940888,0.55,12.209,0.75,5103,2.841642,0.493709912,,,,,,
5.203129,0.6,12.196,0.528,5480,3.24759,1.547995927,,,,,,
5.469503,0.65,12.227,0.353,5899,3.608434,1.35465173,,,,,,
5.731008,0.7,12.222,0.55,6349,3.969277,1.379870366,,,,,,
5.996646,0.75,12.192,0.521,6847,4.23991,1.018803786,,,,,,
6.257185,0.8,12.209,0.481,7375,4.555648,1.211864634,,,,,,
6.522134,0.85,12.174,0.612,7951,4.961596,1.532174117,,,,,,
6.782709,0.9,12.183,0.503,8557,5.277334,1.211697208,,,,,,
7.048267,0.95,12.205,0.408,9202,5.502862,0.849260802,,,,,,
7.309378,0,12.196,0.492,9874,5.863705,1.381952503,,,,,,
7.824556,0.05,12.257,0.098,10361,0,-11.38190101,,,,,,
8.339174,0.1,12.257,0.513,10365,0,0,,,,,,
8.853844,0.15,12.244,0.484,10454,0.405949,0.788755902,,,,,,
9.369665,0.2,12.253,0.495,10602,0.676581,0.524662625,,,,,,
9.885735,0.25,12.236,0.462,10832,0.992319,0.611812351,,,,,,
10.402336,0.3,12.227,0.492,11130,1.353163,0.698496519,,,,,,
10.917812,0.35,12.231,0.499,11509,1.57869,0.437512125,,,,,,
11.433666,0.4,12.209,0.579,11967,1.984639,0.786945531,,,,,,
11.949124,0.45,12.231,0.437,12499,2.345482,0.700043456,,,,,,
12.464929,0.5,12.209,0.55,13108,2.66122,0.612126676,,,,,,
12.980439,0.55,12.222,0.652,13768,2.841642,0.349987391,,,,,,
13.498964,0.6,12.231,0.353,14511,3.292696,0.869878984,,,,,,
14.015298,0.65,12.187,0.597,15328,3.563328,0.52414135,,,,,,
14.532091,0.7,12.187,0.579,16224,3.969277,0.785515671,,,,,,
15.049262,0.75,12.196,0.419,17195,4.285015,0.61050987,,,,,,
15.564432,0.8,12.183,0.484,18242,4.600753,0.612881185,,,,,,
16.0799,0.85,12.209,0.564,19366,5.006702,0.787534823,,,,,,
16.59474,0.9,12.183,0.488,20567,5.32244,0.613274027,,,,,,
17.109071,0.95,12.192,0.517,21816,5.457756,0.263091278,,,,,,
17.625015,0,12.24,0.317,23148,5.863705,0.786808258,,,,,,
18.640158,0.05,12.257,0.178,23636,0,-5.776235466,,,,,,
19.65537,0.1,12.244,0.287,23680,0.135316,0.133288417,,,,,,
20.670878,0.15,12.249,0.543,23863,0.405949,0.266500116,,,,,,
21.688049,0.2,12.249,0.258,24162,0.721687,0.310407984,,,,,,
22.702767,0.25,12.231,0.444,24602,1.037425,0.311158371,,,,,,
23.716844,0.3,12.236,0.291,25197,1.353163,0.311355055,,,,,,
24.731321,0.35,12.218,0.575,25946,1.668901,0.31123229,,,,,,
25.746332,0.4,12.222,0.371,26843,2.074849,0.399944434,,,,,,
26.760966,0.45,12.214,0.524,27893,2.390587,0.311184131,,,,,,
27.776018,0.5,12.218,0.397,29096,2.706325,0.311055985,,,,,,
28.791192,0.55,12.187,0.663,30398,2.841642,0.133294391,,,,,,
29.806059,0.6,12.196,0.462,31856,3.24759,0.400001182,,,,,,
30.82038,0.65,12.218,0.579,33462,3.563328,0.311280157,,,,,,
31.835383,0.7,12.183,0.564,35220,3.879066,0.311071002,,,,,,
32.8504,0.75,12.214,0.546,37133,4.285015,0.399943055,,,,,,
33.86602,0.8,12.187,0.441,39196,4.645858,0.355293318,,,,,,
34.880944,0.85,12.166,0.546,41411,4.961596,0.311095215,,,,,,
35.895762,0.9,12.174,0.535,43777,5.232229,0.266681316,,,,,,
36.91043,0.95,12.192,0.561,46246,5.547967,0.311173704,,,,,,